OBJECTID,CODIGO,NOMBRE,SUBTIPO_BARRIOVEREDA,NOMBRE_COMUNA_CORREGIMIENTO,SHAPEAREA,SHAPELEN
1112,0510,Tricentenario,1,Castilla,420637.97034917,2897.30422904303
1113,0208,Villa Niza,1,Santa Cruz,143215.327503535,1697.30331767167
1114,1108,Laureles,1,Laureles Estadio,707014.82126747,3847.1126832029
1115,1303,Santa Rosa de Lima,1,San Javier,139970.99636927,2158.95426132726
1116,1206,Santa Lucía,1,La América,275913.740234105,3048.70338487335
1117,1205,La Floresta,1,La América,422571.9137965,2734.22366345033
1118,1617,Las Mercedes,1,Belén,376395.954028425,3346.63259154409
1119,1016,Boston,1,La Candelaria,535706.432625545,3120.28272434397
1120,0725,Nueva Villa de La Iguaná,1,Robledo,65026.710827335,1838.74059170095
1121,0905,Alejandro Echavarría,1,Buenos Aires,365418.273130145,3884.16753658615
1122,0608,Picacho,1,Doce de Octubre,416246.42587074,3816.88219580181
1123,0105,Moscú No.2,1,Popular,282167.99824849,2420.45211996379
1124,0101,Santo Domingo Savio No.1,1,Popular,561247.045390275,3596.69770186588
1125,1207,El Danubio,1,La América,212062.295008415,2331.79976935793
1126,0111,La Avanzada,1,Popular,276605.476750885,2891.12629488839
1127,1012,Perpetuo Socorro,1,La Candelaria,640206.98376871,3711.64304410729
1128,1412,San Lucas,1,El Poblado,1228349.92420577,5107.86510019031
1129,9002,Media Luna,2,Corregimiento de Santa Elena,9444550.97366434,17115.6773440117
1130,9004,Barro Blanco,2,Corregimiento de Santa Elena,3117979.76649844,9731.5198863123
1131,9010,Piedra Gorda,2,Corregimiento de Santa Elena,3016088.18004518,9814.231644064
1132,7004,San Pablo,2,Corregimiento de Altavista,3249006.27659922,11437.6458685022
1133,1213,Calasanz Parte Alta,1,La América,414262.18403364,4129.79947454654
1134,7002,Aguas Frías,2,Corregimiento de Altavista,3359881.71012407,8114.83167809406
1135,0202,Playón de Los Comuneros,1,Santa Cruz,205378.39788796,3535.91557778581
