"","fecha_hecho","cantidad","latitud","longitud","sexo","edad","estado_civil","grupo_actor","actividad_delictiva","parentesco","ocupacion","discapacidad","grupo_especial","medio_transporte","nivel_academico","testigo","conducta","modalidad","caracterizacion","conducta_especial","arma_medio","articulo_penal","categoria_penal","nombre_barrio","codigo_barrio","codigo_comuna","lugar","sede_receptora","bien","categoria_bien","grupo_bien","modelo","color","permiso","unidad_medida","fecha_ingestion","YEAR"
"1","2018-01-15T16:00:00.000-05:00",1,6.29870377,-75.57433993,"Mujer",21,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","Pedregal","#0604","6","Vía pública","Doce de Octubre","Cédula","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"2","2018-02-21T09:30:00.000-05:00",1,6.25011692,-75.59964989,"Mujer",19,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Autobus","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","Los Pinos","#1203","12","Vía pública","Laureles","Cédula","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"3","2018-03-01T03:00:00.000-05:00",1,6.26139268,-75.56946493,"Mujer",18,"Unión marital de hecho","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","El Chagualo","#1004","10","Vía pública","Candelaria","Cheques","Dinero, joyas, piedras preciosas y título valor","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"4","2018-03-08T02:00:00.000-05:00",1,6.25139424,-75.57531206,"Mujer",32,"Divorciado(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Motocicleta con parrillero","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","Corazón de Jesús","#1008","10","Vía pública","Candelaria","Licencia","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"5","2018-03-08T02:00:00.000-05:00",1,6.25139424,-75.57531206,"Mujer",32,"Divorciado(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Motocicleta con parrillero","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","Corazón de Jesús","#1008","10","Vía pública","Candelaria","Tarjeta bancaria","Dinero, joyas, piedras preciosas y título valor","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"6","2018-03-08T02:00:00.000-05:00",1,6.25139424,-75.57531206,"Mujer",32,"Divorciado(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Motocicleta con parrillero","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","Corazón de Jesús","#1008","10","Vía pública","Candelaria","Cédula","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"7","2018-03-18T00:00:00.000-05:00",1,6.23934171,-75.59675257,"Mujer",25,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","Laureles","#1108","11","Vía pública","Laureles","Cédula","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"8","2018-03-18T00:00:00.000-05:00",1,6.23934171,-75.59675257,"Mujer",25,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","Laureles","#1108","11","Vía pública","Laureles","Tarjeta bancaria","Dinero, joyas, piedras preciosas y título valor","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"9","2018-03-18T00:00:00.000-05:00",1,6.23934171,-75.59675257,"Mujer",25,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","Laureles","#1108","11","Vía pública","Laureles","Llaveros","Otros elementos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"10","2018-03-18T00:00:00.000-05:00",1,6.23934171,-75.59675257,"Mujer",25,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","Laureles","#1108","11","Vía pública","Laureles","Licencia","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"11","2018-03-24T17:30:00.000-05:00",1,6.25172229,-75.56724154,"Mujer",24,"Casado(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","La Candelaria","#1019","10","Vía pública","Candelaria","Cédula","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"12","2018-03-25T04:00:00.000-05:00",1,6.20902199,-75.56798437,"Mujer",23,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","El Poblado","#1418","14","Vía pública","Poblado","Tarjeta bancaria","Dinero, joyas, piedras preciosas y título valor","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"13","2018-03-25T04:00:00.000-05:00",1,6.20902199,-75.56798437,"Mujer",23,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","El Poblado","#1418","14","Vía pública","Poblado","Licencia","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"14","2018-03-25T04:00:00.000-05:00",1,6.20902199,-75.56798437,"Mujer",23,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","El Poblado","#1418","14","Vía pública","Poblado","Cédula","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"15","2018-03-29T21:20:00.000-05:00",1,6.2634273,-75.56366889,"Mujer",19,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","Hospital San Vicente de Paúl","#Inst_12","10","Vía pública","Candelaria","Tarjeta bancaria","Dinero, joyas, piedras preciosas y título valor","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"16","2018-05-31T05:55:00.000-05:00",1,6.25163445,-75.5716635,"Mujer",26,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","San Benito","#1006","10","Vía pública","Candelaria","Carne","Alimento","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"17","2018-05-31T05:55:00.000-05:00",1,6.25163445,-75.5716635,"Mujer",26,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","San Benito","#1006","10","Vía pública","Candelaria","Sin dato documentos","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"18","2018-05-31T05:55:00.000-05:00",1,6.25163445,-75.5716635,"Mujer",26,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","San Benito","#1006","10","Vía pública","Candelaria","Documentación electoral","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"19","2018-05-31T05:55:00.000-05:00",1,6.25163445,-75.5716635,"Mujer",26,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","San Benito","#1006","10","Vía pública","Candelaria","Cédula","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
"20","2018-12-17T00:00:00.000-05:00",1,6.24869703,-75.56549895,"Mujer",21,"Soltero(a)","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Sin dato","Caminata","Sin dato","Sin dato","Hurto a persona","Cosquilleo","Sin dato","Sin dato","No","Sin dato","Sin dato","La Candelaria","#1019","10","Vía pública","Candelaria","Cédula","Documentos","Mercancía",-1,"Sin dato","Sin dato","Sin dato","2022-05-26T18:12:23.000-05:00","2018"
